Programme_name,School_Name,Programme_requirement,Document_Requirements,Specialization,Country,University_Website
Master of Science in Data Science (MSDS) with a Software Engineering Specialization,Manipal University Jaipur,A candidate for being eligible for admission to the Master course in M.Com shall have passed B.Com from any university with a minimum of 50% marks.,"High school/Degree certificate and transcript, International passport, Resume, 2years work experience proof [Masters]",Business,India,jaipur.manipal.edu
Master of Science in Global Health (MScGH),Manipal University Jaipur,"Passed B.C.A/ B.Sc. (Computer Science)/ B.Sc. (IT) / B.E. (CSE)/ B.Tech. (CSE) / B.E. (IT) / B.Tech. (IT) or equivalent Degree.
OR
Passed any graduation degree (e.g.: B.E. / B.Tech. / B.Sc / B.Com. / B.A./ B. Voc./ etc.,) preferably with Mathematics at 10+2 level or at Graduation level Obtained at least 50% marks (45% marks in case of candidates belonging to reserved category) in the qualifying examination. (for students having no Mathematics background compulsory bridge course will be framed by the respective University/ Institution and additional bridge courses related to computer subjects as per the norms of the concerned University).","High school/Degree certificate and transcript, International passport, Resume, 2years work experience proof [Masters]",Tech,India,jaipur.manipal.edu
MSc Business Clinical Psychology,Arden University,"A bachelor’s degree or equivalent at 2:2 level
Individuals who have HND/HNC/Dip HE, with three to four years strong professional work experience with evidence of managerial/supervisory responsibilities are also encouraged to apply
IELTS 6.5 (no less than 6.0 in any element); or TOEFL iBT 90; or equivalent
Alternatively, evidence you have previously studied in English, such as a letter to show that the Medium of Instruction was in English, can be accepted.","HIGH SCHOOL/DEGREE CERTIFICATE AND TRANSCRIPT, INTERNATIONAL PASSPORT, CV, PERSONAL STATEMENT, IELTS,",Healthcare,GERMANY,https://arden.ac.uk/
MSc Global Environmental Health Management,Arden University,"A UK Honours Degree at a minimum of second class (2.2) or equivalent, that is related to the field of psychology, social science or business (if you want to progress to Stage 2 training in Occupational Psychology this needs to be a BPS accredited undergraduate degree in Psychology)
In the absence of a UK Honours Degree, professional work experience that is relevant to business psychology will be considered on a case-by-case basis.
A maths qualification or equivalent to at least Grade C at GCSE.
In the absence of evidence of a GCSE or equivalent in mathematics applicants will be able to complete an assessment-free module before the start of the course to substitute for this.","HIGH SCHOOL/DEGREE CERTIFICATE AND TRANSCRIPT, INTERNATIONAL PASSPORT, CV, PERSONAL STATEMENT, IELTS,",Business,GERMANY,https://arden.ac.uk/
Master of Science in Innovation Management with a focus on Project Management,Arden University,"A UK bachelor’s degree or equivalent at 2:2 level
Individuals who have HND/HNC/Dip HE, with three to four years strong professional work experience with evidence of managerial/supervisory responsibilities are also encouraged to apply
IELTS 6.5 (no less than 6.0 in any element); or TOEFL iBT 90; or equivalent
Alternatively, evidence you have previously studied in English, such as a letter to show that the Medium of Instruction was in English, can be accepted.","HIGH SCHOOL/DEGREE CERTIFICATE AND TRANSCRIPT, INTERNATIONAL PASSPORT, CV, PERSONAL STATEMENT, IELTS,",Healthcare,GERMANY,https://arden.ac.uk/
Master of Science in Computational Analysis,Arden University,"A UK Honours Degree at a minimum of second class (2:2) or equivalent. Some of our students decide to join us straight after they complete their undergraduate studies.
Or, for those joining us after time in the workplace, we recommend that they have five years of experience as a manager of people or projects.","HIGH SCHOOL/DEGREE CERTIFICATE AND TRANSCRIPT, INTERNATIONAL PASSPORT, CV, PERSONAL STATEMENT, IELTS,",Business,GERMANY,https://arden.ac.uk/
MSc Financial Management,Arden University,"A 2.2 Honours degree in a numerate subject where many of the modules were mathematics-based. Examples include, but are not limited to maths, finance, computing, science, and engineering.
Or an equivalent 2.2 Honours degree with 18 months of relevant computing work experience.","HIGH SCHOOL/DEGREE CERTIFICATE AND TRANSCRIPT, INTERNATIONAL PASSPORT, CV, PERSONAL STATEMENT, IELTS,",Science,GERMANY,https://arden.ac.uk/
MSc Investment Management:,Arden University,"A completed undergraduate (bachelor’s) degree or degree apprenticeship in a business-related field, although other degree subjects may be considered eligible (with some prior subject knowledge of accounting and finance).","HIGH SCHOOL/DEGREE CERTIFICATE AND TRANSCRIPT, INTERNATIONAL PASSPORT, CV, PERSONAL STATEMENT, IELTS,",Business,GERMANY,https://arden.ac.uk/
Business & Technology Management,Arden University,"Fully qualified as a member of a professional accounting body (such as the ACCA, CIMA, ICAEW, or equivalent professional body) within the past ten years.","HIGH SCHOOL/DEGREE CERTIFICATE AND TRANSCRIPT, INTERNATIONAL PASSPORT, CV, PERSONAL STATEMENT, IELTS,",Business,GERMANY,https://arden.ac.uk/
Master of Professional Studies in Business Strategy and Innovation,Arden University,"A UK bachelor’s degree at a minimum of second class (2.2) or equivalent
Individuals who have HND/HNC/Dip HE, with three to four years strong professional work experience with evidence of managerial/supervisory responsibilities are also encouraged to apply.","HIGH SCHOOL/DEGREE CERTIFICATE AND TRANSCRIPT, INTERNATIONAL PASSPORT, CV, PERSONAL STATEMENT, IELTS,",Business,GERMANY,https://arden.ac.uk/
Sustainable Business,Alte University,"Have a bachelor's degree or equivalent Academic degree
Passing the Common Master's Degree
Proficiency in English (B2 level) as evidenced by English language test results / Certificate of Appropriate Level
At least two years of managerial experience is required.","Application Form,passport (with a valid expiration date); Full university transcript (make sure to submit a signed and stamped version), NEET Score card and Health report for Medical, Migration Certificate,TC,Photo",Business,Georgia,https://alte.ge/en/university
Master of Science in Knowledge Engineering,University Of Europe For Applied Sciences,"- Application form
- High School Diploma / Certificate
- Undergraduate degree (Bachelor’s, MBA, or Master)
- Language Proficiency* (or request to waive**)
- CV
- Copy of Passport
- Letter of motivation
- Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Business,Germany,https://www.ue-germany.com/
Master of Science in Consumer Behavior and Insights,University Of Europe For Applied Sciences,"- Application form
- High School Diploma / Certificate
- Undergraduate degree (Bachelor’s, MBA, or Master)
- Language Proficiency* (or request to waive**)
- CV
- Copy of Passport
- Letter of motivation
- Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Tech,Germany,https://www.ue-germany.com/
MA in Creative Problem Solving and Design Leadership,University Of Europe For Applied Sciences,"- Application form
- High School Diploma / Certificate
- Undergraduate degree (Bachelor’s, MBA, or Master)
- Language Proficiency* (or request to waive**)
- CV
- Copy of Passport
- Letter of motivation
- Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Business,Germany,https://www.ue-germany.com/
MS in Public Health Systems and Policy for Development,University Of Europe For Applied Sciences,"- Application form
- High School Diploma / Certificate
- Undergraduate degree (Bachelor’s, MBA, or Master)
- Language Proficiency* (or request to waive**)
- CV
- Copy of Passport
- Letter of motivation
- Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Business,Germany,https://www.ue-germany.com/
Master of Arts in Business Leadership and Change Management,University Of Europe For Applied Sciences,"- Application form
- High School Diploma / Certificate
- Undergraduate degree (Bachelor’s, MBA, or Master)
- Language Proficiency* (or request to waive**)
- CV
- Copy of Passport
- Letter of motivation
- Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Healthcare,Germany,https://www.ue-germany.com/
Master of Business Administration (MBA) in Strategic Sales Leadership,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s minimum 180 ECTS)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)
Work experience certificate (1-year full-time work experience required)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Business,Germany,https://www.ue-germany.com/
"Master of Science in Sustainability Management with a focus on Project Management
",University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s minimum 180 ECTS)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)
Work experience certificate (1-year full-time work experience required)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Business,Germany,https://www.ue-germany.com/
Master of Professional Studies (MPS) in Corporate Finance and Investment Management,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s minimum 180 ECTS)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)
Work experience certificate (1-year full-time work experience required)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Business,Germany,https://www.ue-germany.com/
Master of Arts (MA) in Applied Business and Consulting,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s minimum 180 ECTS)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)
Work experience certificate (1-year full-time work experience required)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Business,Germany,https://www.ue-germany.com/
MS in Distributed Systems and Scalable Software Engineering,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s minimum 180 ECTS)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)
Work experience certificate (1-year full-time work experience required)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Business,Germany,https://www.ue-germany.com/
MA in Design Anthropology,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Tech,Germany,https://www.ue-germany.com/
MS in Fintech and Digital Payment Systems,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Tech,Germany,https://www.ue-germany.com/
Business & Society,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Tech,Germany,https://www.ue-germany.com/
MSc Business Management and science,Fleming College Toronto,"Undergraduate degree or Ontario College diploma of 2 years (4 semesters) minimum in any discipline or equivalent.
One mathematics course at the post-secondary level (recommended but not required for admissions).
Successful competition of Fleming College Toronto English Language Bridge Level 6 or provide IELTS Academic Overall 6.5 with no band score less than 6.0 or equivalent (students applying through the SDS stream must have an overall 6.0 with no band less than 6.0).","Original Secondary School Transcript, O-level Certificate, English Proficiency, International Passport, BSc Certificate and Transcript",Business,Canada,https://www.flemingcollegetoronto.ca
Master of Business Administration in Marketing Management,IBAT College,"IELTS (Academic): 6.0, no component less than 5.5
DuoLingo: Min score 105, min 100 in each section (under review)
Pearson PTE Academic: Min score of 50 (preferably closer to 55)
TOEFL IBT: Min score of 80
Cambridge English Qualifications: A minimum score of 180-190 (FCE Grade B)","English Language requirements for International student ,Overseas equivalent qualifications",Business,Ireland,https://www.ibat.ie/
MSc Inorganic Chemistry,"Norquest College, Canada",IELTS 6.5 and Above Minimum 6.0 in the writing band,"Transcript, Degree/High/Diploma Certificate, Transcripts, SOP, Resume, IELTS, International Passport",Business,Canada,https://www.norquest.ca
MBA in Strategy Consulting and Business Innovation,University Of Warsaw,"The original of secondary school (maturity) certificate and transcript of grades, entitling to undertake university-level study in country in which the certificate / document was issued
a proof of student’s id (ELS) payment – in case of candidates not holding ELS",,Science,POLAND,www.uw.edu.pl
MSE in Machine Learning and Software Engineering,"The University Of Law, UK","2:2 or above from a UK Bachelor’s degree, or equivalent qualification(s)","Academic documents, including senior secondary school mark sheets and certificates Academic documents, including mark sheets and certificates from the bachelor’s programme (graduate applicants only) Official transcripts of all documents that are not in English Proof of prior employment Personal Statement A reference or letter of recommendation Proof of English proficiency through official test scores A copy of the passport",Business,United Kingdom,https://www.law.ac.uk/
MFA in Design for Sustainability,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s minimum 180 ECTS)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)
Work experience certificate (1-year full-time work experience required)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Business,Germany,https://www.ue-germany.com/
EMBA in Digital Marketing and E-commerce Management,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Tech,Germany,https://www.ue-germany.com/
Business Insights and Intelligence,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Tech,Germany,https://www.ue-germany.com/
Management Science,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Tech,Germany,https://www.ue-germany.com/
MSc Physical Chemistry,Fleming College Toronto,"Undergraduate degree or Ontario College diploma of 2 years (4 semesters) minimum in any discipline or equivalent.
One mathematics course at the post-secondary level (recommended but not required for admissions).
Successful competition of Fleming College Toronto English Language Bridge Level 6 or provide IELTS Academic Overall 6.5 with no band score less than 6.0 or equivalent (students applying through the SDS stream must have an overall 6.0 with no band less than 6.0).","Original Secondary School Transcript, O-level Certificate, English Proficiency, International Passport, BSc Certificate and Transcript",Business,Canada,https://www.flemingcollegetoronto.ca
Master of Science in Engineering Management (MSEM) with a Business Analytics Concentration,IBAT College,"IELTS (Academic): 6.0, no component less than 5.5
DuoLingo: Min score 105, min 100 in each section (under review)
Pearson PTE Academic: Min score of 50 (preferably closer to 55)
TOEFL IBT: Min score of 80
Cambridge English Qualifications: A minimum score of 180-190 (FCE Grade B)","English Language requirements for International student ,Overseas equivalent qualifications",Business,Ireland,https://www.ibat.ie/
"Master of Science in International Development with a focus on Project Management
","Norquest College, Canada",IELTS 6.5 and Above Minimum 6.0 in the writing band,"Transcript, Degree/High/Diploma Certificate, Transcripts, SOP, Resume, IELTS, International Passport",Business,Canada,https://www.norquest.ca
MS in Public Health Program Management and Evaluation,University Of Warsaw,"The original of secondary school (maturity) certificate and transcript of grades, entitling to undertake university-level study in country in which the certificate / document was issued
a proof of student’s id (ELS) payment – in case of candidates not holding ELS",,Science,POLAND,www.uw.edu.pl
Master of Behavioral Finance (MBF),"The University Of Law, UK","2:2 or above from a UK Bachelor’s degree, or equivalent qualification(s)","Academic documents, including senior secondary school mark sheets and certificates Academic documents, including mark sheets and certificates from the bachelor’s programme (graduate applicants only) Official transcripts of all documents that are not in English Proof of prior employment Personal Statement A reference or letter of recommendation Proof of English proficiency through official test scores A copy of the passport",Business,United Kingdom,https://www.law.ac.uk/
"Master of Science in Non-Profit Management with a focus on Project Management
","The University Of Law, UK","2:2 or above from a UK Bachelor’s degree, or equivalent qualification(s)","Academic documents, including senior secondary school mark sheets and certificates Academic documents, including mark sheets and certificates from the bachelor’s programme (graduate applicants only) Official transcripts of all documents that are not in English Proof of prior employment Personal Statement A reference or letter of recommendation Proof of English proficiency through official test scores A copy of the passport",Business,United Kingdom,https://www.law.ac.uk/
Executive Master of Business Administration in Sales and Marketing,Avila University,"Bachelor's degree from an accredited institution
GPA requirements for unconditional admission: 2.75 cumulative grade point average at the completion of the undergraduate degree
GPA requirements for conditional admission: 2.5 cumulative grade point average at the completion of the undergraduate degree
Official transcripts from all institutions previously attended","To be admitted to Avila University, proficiency in English is typically required1. They may accept scores of these English language tests as proof of proficiency: IELTS and TOEFL1. The requirements for undergraduate student admission are as follows2: Official high school transcripts Minimum high school GPA of 2.75 or above to apply without SAT or ACT scores; or Minimum high school GPA of 2.5 and ACT score of 20 or SAT score of 1020 English language proficiency test scores Copy of passport( Official educational institute transcripts English proficiency test tallies Copy of passport",Healthcare,United States,https://www.avila.edu/
Master of Professional Studies in Digital Marketing and Social Media,Avila University,"Bachelor's degree from an accredited institution
GPA requirements for unconditional admission: 2.75 cumulative grade point average at the completion of the undergraduate degree
GPA requirements for conditional admission: 2.5 cumulative grade point average at the completion of the undergraduate degree
Official transcripts from all institutions previously attended","To be admitted to Avila University, proficiency in English is typically required1. They may accept scores of these English language tests as proof of proficiency: IELTS and TOEFL1. The requirements for undergraduate student admission are as follows2: Official high school transcripts Minimum high school GPA of 2.75 or above to apply without SAT or ACT scores; or Minimum high school GPA of 2.5 and ACT score of 20 or SAT score of 1020 English language proficiency test scores Copy of passport( Official educational institute transcripts English proficiency test tallies Copy of passport",Business,United States,https://www.avila.edu/
Master of Arts in Brand Management and Consumer Behavior,Avila University,"Bachelor's degree from an accredited institution
GPA requirements for unconditional admission: 2.75 cumulative grade point average at the completion of the undergraduate degree
GPA requirements for conditional admission: 2.5 cumulative grade point average at the completion of the undergraduate degree
Official transcripts from all institutions previously attended","To be admitted to Avila University, proficiency in English is typically required1. They may accept scores of these English language tests as proof of proficiency: IELTS and TOEFL1. The requirements for undergraduate student admission are as follows2: Official high school transcripts Minimum high school GPA of 2.75 or above to apply without SAT or ACT scores; or Minimum high school GPA of 2.5 and ACT score of 20 or SAT score of 1020 English language proficiency test scores Copy of passport( Official educational institute transcripts English proficiency test tallies Copy of passport",Business,United States,https://www.avila.edu/
Master of Business Administration in Financial Management,University Of Windsor,"Completion of a 4-year bachelor degree (or equivalent) from an accredited institution
A cumulative GPA of 70% or above, calculated based on the last 2 years of full time studies of the qualifying degree. Students of various undergraduate backgrounds are welcomed and encouraged into the program.
One academic or professional reference.
No prior work experience is required but all applicants must submit an updated resume and letter of intent.
Any student whose native language is not English, or did not receive a degree from a North American University or any countries listed on the exemption list, must achieve a satisfactory score on one of the following tests: IELTS 7, TOEFL 100, Duolingo 120, ELIP 3",English language proficiency scores: TOEFL-IBT- 83 IELTS- 6.5 PTE: 60 2-3 letters of recommendation Letter of intent Written Sample Professional Resume,Business,Canada,https://www.uwindsor.ca
Master of Science in Investment Management,"Manipal Global Next University Malaysia, Malaysia",A Bachelor’s degree from a recognised university with a minimum CGPA of 2.50 on a 4.00 point scale.,A Bachelor’s degree from a recognized university. Evidence of English proficiency for applicants whose first language is not English and who have not undertaken tertiary education in English.,Business,Malaysia,https://www.globalnxt.edu.my/gnxt/admission.html
Executive Master of Business Administration in Corporate Finance,"Manipal Global Next University Malaysia, Malaysia","A Bachelor’s degree from a recognized
university with a minimum CGPA of 2.50 on a
4.00 point scale.",A Bachelor’s degree from a recognized university. Evidence of English proficiency for applicants whose first language is not English and who have not undertaken tertiary education in English.,Business,Malaysia,https://www.globalnxt.edu.my/gnxt/admission.html
Master of Science in Marketing and Product Management,University Of Windsor,"Completion of a 4-year bachelor degree (or equivalent) from an accredited institution
A cumulative GPA of 70% or above, calculated based on the last 2 years of full time studies of the qualifying degree. Students of various undergraduate backgrounds are welcomed and encouraged into the program.
One academic or professional reference.
No prior work experience is required but all applicants must submit an updated resume and letter of intent.
Any student whose native language is not English, or did not receive a degree from a North American University or any countries listed on the exemption list, must achieve a satisfactory score on one of the following tests: IELTS 7, TOEFL 100, Duolingo 120, ELIP 3",English language proficiency scores: TOEFL-IBT- 83 IELTS- 6.5 PTE: 60 2-3 letters of recommendation Letter of intent Written Sample Professional Resume,Business,Canada,https://www.uwindsor.ca
Master of Professional Studies in Forensic Accounting and Fraud Examination,"Manipal Global Next University Malaysia, Malaysia",A Bachelor’s degree from a recognised university with a minimum CGPA of 2.50 on a 4.00 point scale.,A Bachelor’s degree from a recognized university. Evidence of English proficiency for applicants whose first language is not English and who have not undertaken tertiary education in English.,Business,Malaysia,https://www.globalnxt.edu.my/gnxt/admission.html
"Master of Science in Arts Management with a focus on Project Management
","Manipal Global Next University Malaysia, Malaysia","A Bachelor’s degree from a recognized
university with a minimum CGPA of 2.50 on a
4.00 point scale.",A Bachelor’s degree from a recognized university. Evidence of English proficiency for applicants whose first language is not English and who have not undertaken tertiary education in English.,Business,Malaysia,https://www.globalnxt.edu.my/gnxt/admission.html
Master of Arts (MA) in Financial Management and Business Ethics,"IU University Of Applied Sciences, Germany",Not Available,"Duly filled visa application form Academic records and transcripts Passport/ID Photographs Letter of Acceptance from college Any previous Germany permits and visas if applicable ,Proof of financial support ,Recent passport size photos ,English language proficiency test scores ,CV ,Private Medical Insurance Cover",Business,Germany,https://www.iu.org/
MS in Management Consulting for Healthcare Organizations,"Manipal Academy Of Higher Education, UAE","Admission to the Master of Business Administration - International Business (Day) Program is open to all candidates who have acquired a Bachelor’s degree of minimum three years duration recognised by Manipal University, with at least 50% in aggregate in the qualifying examination
The selection for the MBA - International Business (Day) program is based on valid score of CAT/MAT/GMAT/XAT and personal interview conducted by the University.","DOCUMENTS REQUIRED FOR UNDERGRADUATE PROGRAMS Attested copy of mark sheet/ grade sheet of 12th Std. examination/ equivalent - original & photocopy Certified copy of 10th Std. mark sheet - original & photocopy Transfer Certificate or School Leaving Certificate - original (will not be returned) Conduct Certificate issued by the school - original (will not be returned) Passport Copy - 1 set 10 passport size 
photographs,DOCUMENTS REQUIRED FOR POSTGRADUATE PROGRAMS Certified copy of Bachelor Degree and a copy of the mark sheet (along with the original) Passport copy 5 Passport size photograph",Business,United Arab Emirates,https://www.manipaldubai.com/mud.html
MCS in Embedded Systems and Software Development,"New York Institute Of Technology Vancouver, Canada","Four (4) – year Bachelor’s degree or its equivalent from an accredited college or university.
Minimum cumulative GPA of 3.0 on a 4.0 scale. In exceptional circumstances, applicants with overall GPA between 2.75 - 2.99 (on a 4.0 scale) may be eligible to apply if they have a minimum of 2 years’ work experience with a proof of employment to be submitted by the employer.","A copy of your passport (valid passport only, expired passport will not be accepted). Proof of English Language Proficiency (IELTS Academic and IELTS Online, TOEFL iBT and Home Edition, PTE). GMAT score if your overall GPA is less than 3.0 on a 4.0 scale (MBA only) Bachelor's Degree completion certificate.",Business,Canada,https://vancouver.nyit.edu/
MS in Product Design and Development,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s minimum 180 ECTS)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)
Work experience certificate (1-year full-time work experience required)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Business,Germany,https://www.ue-germany.com/
MPS in Digital Transformation and Enterprise Architecture,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s minimum 180 ECTS)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)
Work experience certificate (1-year full-time work experience required)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Business,Germany,https://www.ue-germany.com/
Sustainable Business Strategy,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s minimum 180 ECTS)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)
Work experience certificate (1-year full-time work experience required)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Business,Germany,https://www.ue-germany.com/
